"ID","Gender","Bmonth","Byear","Grade","School1","School2","School3","Confidence","Heard_sustain","Heard_earthweek","Heard_greenthumb","Heard_bike","Heard_conference","Heard_recycle","Heard_buddies","Part_sustain","Part_earthweek","Part_greenthumb","Part_bike","Part_conference","Part_recycle","Part_buddies","Effective","More_activities","Attendance","Collaborate","Member","Office_space","Increase_rate","Work_sustain","Leadership","Manage_funds","Investigate","Solutions","Brainstorm","Comments","SAM"
253940,"Other",6,1994,3,"HSE","SAM","BUS","Neutral",0,NA,"Green Thumb","Bike Co-op","ENVS Conference",NA,NA,0,0,1,1,1,0,0,"Ineffective",NA,NA,NA,NA,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,1
253941,"Male",2,1995,1,NA,NA,NA,"Not Confident at All",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,1,1,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
253958,"Male",9,1995,1,NA,NA,NA,"Not Confident at All",0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,1,1,1,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254012,"Female",5,1996,3,"SCS",NA,NA,"Neutral",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,1,1,1,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254013,"Female",6,1993,3,"SCS",NA,NA,"Neutral",0,"Earth Week",NA,"Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,NA,NA,4,3,4,"Online Office","$21-$30","yes",4,2,4,5,5,NA,0
254037,"Female",8,1997,3,"SCS",NA,NA,"Neutral",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,4,3,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254071,"Female",1,1997,3,"SCS",NA,NA,"Neutral",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,2,2,2,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254715,"Female",1,1997,3,"SCS",NA,NA,"Slightly Confident",0,"Earth Week",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"Physical Office","$1-$10","yes",3,3,3,3,3,NA,0
254744,"Female",7,1995,2,"SCS","SAL",NA,"Neutral",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,2,3,3,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254745,"Female",10,1994,3,"HSE",NA,NA,"Confident",1,"Earth Week",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,"Neutral",NA,4,4,4,"No preference","$11-$20","yes",4,4,4,4,4,NA,0
