ID,Gender,Bmonth,Byear,Grade,School,Confidence,Heard_sustain,Heard_earthweek,Heard_greenthumb,Heard_bike,Heard_conference,Heard_recycle,Heard_buddies,Part_sustain,Part_earthweek,Part_greenthumb,Part_bike,Part_conference,Part_recycle,Part_buddies,Effective,More_activities,Attendance,Collaborate,Member,Office_space,Increase_rate,Work_sustain,Leadership,Manage_funds,Investigate,Solutions,Brainstorm,Comments
253940,Other/ prefer not to say,6,1994,Third-year,HSE SAM BUS,Neutral,,,Green Thumb,Bike Co-op,ENVS Conference,,,0,0,1,1,1,0,0,Ineffective,,,,,No preference,Not willing at all,no,,,,,,
253941,Male,2,1995,First-year ,,Not Confident at All,,,,,,,,0,0,0,0,0,0,0,,,1,1,1,No preference,Not willing at all,no,,,,,,
253958,Male,9,1995,First-year ,,Not Confident at All,,,,,,,,0,0,0,0,0,0,0,,,1,1,1,Physical Office,Not willing at all,no,,,,,,
254012,Female,5,1996,Third-year,SCS,Neutral,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,,1,1,1,Physical Office,$1-$10,no,,,,,,
254013,Female,6,1993,Third-year,SCS,Neutral,,Earth Week,,Bike Co-op,ENVS Conference,,,0,0,0,0,0,0,0,,,4,3,4,Online Office,$21-$30,yes,4,2,4,5,5,
254037,Female,8,1997,Third-year,SCS,Neutral,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,,,3,4,3,Physical Office,Not willing at all,no,,,,,,
254071,Female,1,1997,Third-year,SCS,Neutral,Sustainability Week,Earth Week,,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,,2,2,2,No preference,$1-$10,no,,,,,,
254715,Female,1,1997,Third-year,SCS,Slightly Confident,,Earth Week,,,,,,0,0,0,0,0,0,0,,,3,3,3,Physical Office,$1-$10,yes,3,3,3,3,3,
254744,Female,7,1995,Second-year,SCS SAL,Neutral,Sustainability Week,Earth Week,Green Thumb,Bike Co-op,,,,0,0,0,0,0,0,0,Neutrale,,2,3,3,Physical Office,$1-$10,no,,,,,,
254745,Female,10,1994,Third-year,HSE,Confident,Sustainability Week,Earth Week,,,,,,1,0,0,0,0,0,0,Neutral,,4,4,4,No preference,$11-$20,yes,4,4,4,4,4,
254746,Female,9,1995,Fourth-year,HSE,Confident,Sustainability Week,,Green Thumb,Bike Co-op,ENVS Conference,,,0,0,0,1,1,0,0,Neutral,Glass recycling,3,3,4,Physical Office,$1-$10,yes,4,4,4,4,3,
