Old Names,New Names,Variable Description,Coding or Response Options
ResponseID,ID,Participant ID,six digit number
What is your gender?,Gender,What is your gender?,"female = 1, male = 2, other/prefer not to reply = 3"
Bday:Month,Bmonth,Month of Birthday,"two digit month(e.g., 01)"
BDay:Year,Byear,Birthday Year,"four digit year (e.g., 1994)"
"What grade level are you? (Answers should be based on number of years at Truman, not credit hours completed).",Grade,,
,School,,
Rate how confident you are in your understanding of sustainability.,Confidence,,
Check all activities that you've heard of occurring at Truman_Sustainability week/sustainability day,Heard_sustain,,
Check all activities that you've heard of occurring at Truman_Earth week,Heard_earthweek,,
Check all activities that you've heard of occurring at Truman_Green thumb project (garden to table project),Heard_greenthumb,,
Check all activities that you've heard of occurring at Truman_Bike co-op,Heard_bike,,
Check all activities that you've heard of occurring at Truman_Environmental studies conference,Heard_conference,,
Check all activities that you've heard of occurring at Truman_Recyclemania,Heard_recycle,,
Check all activities that you've heard of occurring at Truman_Environmental buddies,Heard_buddies,,
Check all activities that you've participated in _Sustainability week/sustainability day,Part_sustain,,
Check all activities that you've participated in _Earth week,Part_earthweek,,
Check all activities that you've participated in _Green thumb project (garden to table project),Part_greenthumb,,
Check all activities that you've participated in _Bike co-op,Part_bike,,
Check all activities that you've participated in _Environmental studies conference,Part_conference,,
Check all activities that you've participated in _Recyclemania,Part_recycle,,
Check all activities that you've participated in _Environmental buddies,Part_buddies,,
If you checked any activities on the previous question: How effective were these activities in raising your awareness of sustainability? ,Effective,,
What sort of activities would you like to see more of?,More_activities,,
How willing would you be to Attend meetings for an online office,Attendance,,
How willing would you be to work with other sustainability groups,Collaborate,,
How willing would you be to become a member of the Student Sustainability Office,Member,,
 Would you prefer a physical office or an online office?,Office_space,,
"How much would you be willing to increase tuition rate, per semester, in order to pay for a physical location for a Student Sustainability Office?",Pay_office,,
Would you be interested in working in a student sustainability office?,Work_sustain,,
These next few questions should only be answered if you are interested in working in the office. These questions are a list of activities you may be interested in doing.Would you be interested in holding a leadership position in the office.,,,
Â Manage funds for the office,,,
Investigate the state of sustainability at Truman,,,
Find solutions to problems of sustainability on Truman's campus,,,
Brainstorm ways to spread awareness of sustainability through activities and advertising ,,,
Please write any further comments pertaining to the survey.,,,
